,features,labels
5621,Nerul railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5622,Panvel railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5623,Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5624,There is always a long  mannerless queue of Auto rickshaws which cover major portion of the road for refilling CNG at nearby petrol pump. There is no gaps left by them in between autos at the entrance & exit of each society. This leads to major traffic chaos every evening in peak hours.,"98    Traffic Jams/Congestion Or Bottlenecks
Name: title, dtype: object"
5625,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5626,Vashi railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5627,Sion railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5628,Vasai Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5629,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5630,Jogeshwari railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5631,Seawoods-Darave railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5632,Mankhurd railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5633,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5634,Nahur railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5635,Parel railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5636,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5637,Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5638,Naigaon railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5639,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5640,Matunga Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5641,Chinchpokli railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5642,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5643,Grant Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5644,Mankhurd railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5645,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5646,Naigaon railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5647,Thakurli railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5648,Vashi railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5649,Bandra railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5650,Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5651,Mahim railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5652,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5653,Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5654,Sanpada railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5655,Kalyan railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5656,Mumbra railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5657,Chunabhatti railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5658,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5659,Tilak Nagar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5660,Marine Lines railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5661,Malad railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5662,Vidyavihar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5663,Sewri railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5664,Sanpada railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5665,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5666,Virar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5667,Khandeshwar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5668,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5669,Currey Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5670,Nahur railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5671,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5672,Kanjurmarg railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5673,Naigaon railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5674,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5675,Santacruz railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5676,Vidyavihar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5677,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5678,Seawoods-Darave railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5679,Vile Parle railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5680,Vasai Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5681,Thakurli railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5682,Byculla railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5683,Matunga railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5684,Vidyavihar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5685,Mumbra railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5686,Reay Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5687,Churchgate railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5688,Borivali railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5689,Ghatkopar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5690,Khandeshwar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5691,Kalwa railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5692,Vashi railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5693,Guru Tegh Bahadur Nagar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5694,Sandhurst Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5695,Mumbai Central railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5696,Vikhroli railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5697,The footpath needs to be levelled on the corner of Madame Cama Road and Cooperage Road. Itg is very uneven and dangerous,"69    Construction of new footpaths
Name: title, dtype: object"
5698,"Not a single visit of central agency near rajiv gandhi nagar , near road side drainage line is block which the people has to face various problems","88    Maintenance And Repair Of Storm Water Drains
Name: title, dtype: object"
5699,"Everyday, especially in the evenings between 5 to 9, illegal hawkers occupy the entire road leaving no room for vehicles or pedestrian to pass through the road... Moreover, because of these hawkers a lot of nuisance is there in lane and  uncivilised crowd gather there for cheap eating and meeting joint to kill time","68    Management Of Hawkers and Vendors
Name: title, dtype: object"
5700,"There are no speed brakers at the intersections near my home. Also, the speed brakers in the street must be 3, instead of the current 1. Always water logging near footpaths as drainage is not good.","71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
5701,Bhakti Park is infested with atleast 30-40 stray dogs who bark whole night resulting in disturbed sleep. Stray dog lovers feed them inside society resulting in dog fights and threating safety of kids and senior citizens.,"93    Stray Dog Sterilisation/Animal Birth Control (...
Name: title, dtype: object"
5702,Please revamp the entire Mahant  road stretch as it is impossible for pregnant women and older people to commute,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
5703,Kalyan railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5704,Mansarovar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5705,Byculla railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5706,Mumbra railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5707,Kurla railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5708,Andheri railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5709,Bhandup railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5710,Bhayandar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5711,Borivali railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5712,Borivali railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5713,Vidyavihar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5714,Chinchpokli railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5715,Mira Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5716,Charni Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5717,CBD Belapur railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5718,Kalwa railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5719,Chatrapati Shivaji Terminus railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5720,Churchgate railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5721,Chinchpokli railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5722,Dahisar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5723,Chinchpokli railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5724,Cotton Green railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5725,Churchgate railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5726,Khandeshwar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5727,Diwa railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5728,Kurla railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5729,Mahim railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5730,Mahalaxmi railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5731,Marine Lines railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5732,Lower Parel railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5733,Kandivali railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5734,Matunga Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5735,Goregaon railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5736,Dockyard Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5737,Kandivali railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5738,Juinagar railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5739,Currey Road railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
5740,Panvel railway station is very badly maintained and requires urgent attention by the railway authorities.  I request the railway authorities to look into this issue and take up proper maintenance works  so that there is no inconvenience caused to commuters like me who use this station on a regular basis. ,"140    Maintenance of Railways
Name: title, dtype: object"
